event_date,users,new_users,sessions,pageviews
20201101,2365,1946,2594,9767
20201102,3262,2485,3682,14964
20201103,4648,3668,5285,18665
20201104,3734,2848,4281,15799
20201105,3272,2415,3795,16249
20201106,2813,2026,3265,15232
20201107,2004,1547,2239,10814
20201108,1919,1521,2133,9598
20201109,2805,2086,3227,14009
20201110,3260,2453,3784,15606
20201111,3296,2446,3765,15938
20201112,3179,2274,3631,15040
20201113,2860,2153,3300,15722
20201114,2076,1622,2334,10737
20201115,1957,1566,2190,9913
20201116,3085,2335,3496,15208
20201117,3449,2562,4012,18098
20201118,3505,2636,4092,16751
20201119,3566,2692,4154,16677
20201120,3477,2627,4084,17856
20201121,2755,2175,3153,13278
20201122,2359,1887,2650,11497
20201123,3421,2640,3916,16358
20201124,3821,2742,4170,19352
20201125,3988,2895,4295,19898
20201126,3626,2882,4061,16738
20201127,3512,2810,3928,16510
20201128,3010,2453,3346,13590
20201129,2887,2321,3207,12999
20201130,3971,3060,4516,21041
20201201,4308,3303,4912,21511
20201202,4101,3184,4759,19866
20201203,4464,3514,5142,21359
20201204,4131,3249,4678,20703
20201205,3082,2492,3464,14975
20201206,2948,2407,3303,13065
20201207,4709,3742,5410,21324
20201208,6689,5483,7526,27130
20201209,5531,4411,6211,24193
20201210,5241,4053,5759,24060
20201211,4948,3886,5476,22212
20201212,3750,3126,4088,16923
20201213,3402,2868,3666,14322
20201214,4552,3695,5051,19470
20201215,4992,3986,5680,20822
20201216,4820,3851,5487,19236
20201217,4711,3821,5283,18136
20201218,4261,3547,4786,16028
20201219,3236,2774,3558,10728
20201220,2966,2562,3247,8552
20201221,3627,2939,3952,12294
20201222,3405,2718,3793,12775
20201223,3123,2527,3409,11356
20201224,2601,2241,2774,7357
20201225,2491,2207,2624,5956
20201226,2472,2209,2651,6291
20201227,2493,2179,2646,6226
20201228,3042,2577,3329,9831
20201229,3124,2647,3401,11770
20201230,2955,2514,3183,10514
20201231,2444,2104,2588,8535
20210101,2160,1916,2289,7906
20210102,2581,2298,2705,8450
20210103,2579,2255,2753,8812
20210104,3079,2620,3319,11010
20210105,4101,3480,4411,14850
20210106,5486,4736,5952,19233
20210107,4171,3493,4608,15375
20210108,3803,3197,4219,14381
20210109,2958,2553,3241,11035
20210110,2772,2394,2976,9674
20210111,3606,2983,3918,13159
20210112,4195,3491,4679,16693
20210113,4131,3440,4478,15653
20210114,3909,3248,4322,15534
20210115,3550,2972,3894,13841
20210116,2892,2513,3149,10556
20210117,2716,2375,2960,9563
20210118,3226,2735,3561,11332
20210119,3713,3057,4146,17099
20210120,4222,3455,4727,21007
20210121,4198,3398,4640,17677
20210122,3605,2912,4034,16803
20210123,2824,2400,3088,11960
20210124,2701,2278,2929,11038
20210125,3507,2843,3865,14582
20210126,3586,2888,4049,14861
20210127,4017,3047,4271,16989
20210128,3735,2905,4057,15149
20210129,3386,2733,3742,14235
20210130,2610,2131,2807,11049
20210131,2546,2127,2760,9498
